Dr. Seuss
Marilyn Monroe
Oscar Wilde
Albert Einstein
Bernard M. Baruch
William W. Purkey
Marcus Tullius Cicero
Frank Zappa
Mae West
Mahatma Gandhi
Robert Frost
C.S. Lewis
J.K. Rowling
Albert Camus
Eleanor Roosevelt
Mark Twain
Elbert Hubbard
Maya Angelou
Martin Luther King Jr.
Friedrich Nietzsche
Narcotics Anonymous
Ralph Waldo Emerson
H. Jackson Brown Jr.
Stephen Chbosky
André Gide
J.R.R. Tolkien
Jane Austen
Maurice Switzer
John Green
Allen Saunders
William Shakespeare
Bil Keane
Gordon A. Eadie
Thomas A. Edison
Elie Wiesel
Neil Gaiman
Groucho Marx
Douglas Adams
Steve Martin
Pablo Neruda
Mother Teresa
Sarah Dessen
Lao Tzu
George Eliot
Garrison Keillor
George R.R. Martin
Robert A. Heinlein
Jorge Luis Borges
William Nicholson
Suzanne Collins
Anaïs Nin
Jim Henson
Charles M. Schulz
Pablo Picasso
Lemony Snicket
Paul Terry
Woody Allen
Nicholas Sparks
Cassandra Clare
Joan Powers
Bob Marley
Walter M. Miller Jr.
Abraham Lincoln
Haruki Murakami
Markus Zusak
Alexandre Dumas-fils
Virginia Woolf
Theodore Roosevelt
Shel Silverstein
Robert Fulghum
Helen Keller
George Bernard Shaw
Jodi Picoult
Stephenie Meyer
Ernest Hemingway
Marthe Troly-Curtin
A.A. Milne
Terry Pratchett
Alfred Lord Tennyson
Charles Bukowski
Bill Watterson
Winston S. Churchill
Benjamin Franklin Wade
George Carlin
W.C. Fields
J.D. Salinger
Margaret Thatcher
Ivan Illich
Karl A. Menninger
Victor Borge
Boris Pasternak
Henry Ford
Robert Green Ingersoll
Henry Wadsworth Longfellow
Saint Augustine
Ambrose Bierce
Hunter S. Thompson
Henry Rollins
Anne Morrow Lindbergh
Agnes Repplier
Will Rogers
Friedrich Durrenmatt
Ingrid Bergman
Allen Klein
Piet Mondrian
John Wooden
Herman Cain
Victor Hugo
Oliver Goldsmith
Ludwig van Beethoven
Francoise Sagan
Charles Lindbergh
Paul Valery
Sid Caesar
Philip Johnson
Leonardo da Vinci
Elizabeth Bibesco
Emily Dickinson
Buddha
Robert Benchley
Claude Monet
Norman Cousins
Orson Welles
Thomas W. Higginson
Frank Lloyd Wright
Jess C. Scott
John Ruskin
Janine di Giovanni
Lord Acton
Irvin S. Cobb
Ray Bradbury
Michael Dell
Ravi Zacharias
Alexander Pope
Billy Sunday
Mike Ditka
Bradley Whitford
Theodor Adorno
Ferdinand Foch
Max Eastman
Lady Gaga
Linda Grayson
Bob Dylan
Robert H. Schuller
Vernon Howard
Torquato Tasso
Don Herold
John Lennon
Thomas J. Watson
Thomas Carlyle
Henri Nouwen
George Jean Nathan
Tony Hawk
Robert Kiyosaki
Johann Wolfgang von Goethe
Dalai Lama
Christopher Morley
Isaac Newton
Sydney Madwed
Basil Hume
Josh Billings
Blaise Pascal
Bernard Williams
Jim Rohn
William James
Kenneth Lonergan
Napoleon Hill
Robert Frank
Corita Kent
Jennifer Aniston
Karl Wilhelm Friedrich Schlegel
Douglas Horton
Miguel de Cervantes
Brad Henry
Karen Horney
Lin Yutang
Edward Dmytryk
Confucius
Alfred Adler
Tom Lehrer
Paracelsus
Christopher Reeve
Woodrow Wilson
Igor Stravinsky
Peter De Vries
Sol LeWitt
Howard Nemerov
Lewis B. Smedes
Wayne Dyer
Henry Van Dyke
Clifton Fadiman
Aldous Huxley
Bo Bennett
George Washington Carver
Kristin Chenoweth
Guillermo Cabrera Infante
Harvey Pekar
J. Paul Getty
Napoleon Bonaparte
Plato
Barbara de Angelis
Madeleine L'Engle
Juliana Hatfield
Rabindranath Tagore
Walter Pater
Ayn Rand
Maria Montessori
Muhammad Ali Jinnah
Henri Frederic Amiel
Matt LeBlanc
Madonna Ciccone
Gillian Anderson
Mary Kay Blakely
LL Cool J
Carroll O'Connor
Scott Adams
Mignon McLaughlin
Yoko Ono
Havelock Ellis
Anthony Hopkins
Orhan Pamuk
Vince Lombardi
Rush Limbaugh
Jiddu Krishnamurti
Marc Chagall
Marlo Thomas
Akon
Arnold H. Glasow
Emile M. Cioran
Og Mandino
Pierre Bonnard
Alanis Morissette
Mark Z. Danielewski
Tom Shadyac
A. P. J. Abdul Kalam
Charles Dudley Warner
Lance Bass
Witold Gombrowicz
Bruce Lee
Christina Rossetti
Muhammad Ali
James Taylor
Joss Whedon
Rachel Hunter
David Frost
Penn Jillette
Melody Beattie
Edward Steichen
Edward de Bono
Joan Crawford
E.E. Cummings
Winston Churchill
Keanu Reeves
Langston Hughes
Jim Dine
Peter Tosh
Brian Greene
William Alexander
Al Franken
Arthur Ashe
Lex Luger
Twyla Tharp
Tracy Morgan
Jonathan Swift
J.M. Barrie
Mario Andretti
Leonardo DiCaprio
Henry Ward Beecher
Taylor Swift
Miranda Hart
Horace
Xun Zi
BeBe Winans
David Brinkley
Paul Scofield
Jackson Pollock
Bob Newhart
J. C. Watts
Jimi Hendrix
Johnny Ramone
Billy Graham
Henri Cartier-Bresson
Pietro Aretino
Swami Vivekananda
Ryan Seacrest
Rick Warren
Alfred Sisley
Viggo Mortensen
George S. Patton
B. H. Liddell Hart
Oprah Winfrey
Mary Schmich
Ridley Scott
Frank Sinatra
Franklin D. Roosevelt
Peter Benchley
Conor Oberst
Iris Murdoch
Trey Parker
Beyonce Knowles
Albert Schweitzer
Laurel Clark
Evel Knievel
Don Rickles
Thomas Aquinas
Joe Arpaio
Gabourey Sidibe
Alfred Stieglitz
Patti LaBelle
Rumi
Godfrey Winn
Simon Helberg
Amisha Patel
Alan Moore
Theodore Isaac Rubin
Charles J. Sykes
Bill Gates
Thomas Bulfinch
John Locke
Robert Rauschenberg
Thomas Browne
H. Jackson Brown
Troy Baker
John Zorn
Samuel Richardson
Zig Ziglar
Alan Cranston
Walt Disney
Betty White
Pattie Boyd
Josh Hartnett
Ray Lewis
Paul Klee
Maureen O'Hara
Celine Dion
Michael Jordan
